date,MARUTI,overlap
2012-09-08,40.0,1.0
2012-09-09,33.0,1.0
2012-09-10,37.0,1.0
2012-09-11,35.0,1.0
2012-09-12,35.0,1.0
2012-09-13,33.0,1.0
2012-09-14,33.0,1.0
2012-09-15,36.0,1.0
2012-09-16,32.0,1.0
2012-09-17,33.0,1.0
2012-09-18,31.0,1.0
2012-09-19,28.0,1.0
2012-09-20,33.0,1.0
2012-09-21,35.0,1.0
2012-09-22,41.0,1.0
2012-09-23,31.0,1.0
2012-09-24,37.0,1.0
2012-09-25,37.0,1.0
2012-09-26,36.0,1.0
2012-09-27,35.0,1.0
2012-09-28,33.0,1.0
2012-09-29,37.0,1.0
2012-09-30,42.0,1.0
2012-10-01,44.0,1.0
2012-10-02,41.0,1.0
2012-10-03,49.0,1.0
2012-10-04,44.0,1.0
2012-10-05,40.0,1.0
2012-10-06,48.0,1.0
2012-10-07,38.0,1.0
2012-10-08,50.0,1.0
